"","case_number","to_pay","paid","balance"
"1","19-009115-co"," 195.00"," 195.00","0.00"
"2","19-009116-co"," 195.00"," 195.00","0.00"
"3","19-009118-co"," 185.00"," 185.00","0.00"
"4","19-009119-co"," 195.00"," 195.00","0.00"
"5","19-009125-co"," 0.90"," 0.90","0.00"
"6","19-009126-co"," 200.00"," 200.00","0.00"
"7","19-009127-co"," 195.00"," 195.00","0.00"
"8","19-009128-co"," 195.00"," 195.00","0.00"
"9","19-009129-co"," 205.00"," 205.00","0.00"
"10","19-009130-co"," 195.00"," 195.00","0.00"
"11","19-009132-co"," 195.00"," 195.00","0.00"
"12","19-009133-co"," 195.00"," 195.00","0.00"
"13","19-009135-co"," 195.00"," 195.00","0.00"
"14","19-009138-co"," 0.30"," 0.30","0.00"
"15","19-009139-co"," 195.00"," 195.00","0.00"
"16","19-009140-co"," 195.00"," 195.00","0.00"
"17","19-009142-co","","",""
"18","19-009143-co"," 195.00"," 195.00","0.00"
"19","19-009144-co"," 195.00"," 195.00","0.00"
"20","19-009145-co"," 2.40"," 2.40","0.00"
"21","19-009146-co"," 205.00"," 205.00","0.00"
"22","19-009147-co"," 195.00"," 195.00","0.00"
"23","19-009150-co"," 195.00"," 195.00","0.00"
"24","19-009151-co"," 205.00"," 205.00","0.00"
"25","19-009153-co"," 205.00"," 205.00","0.00"
"26","19-009155-co"," 195.00"," 195.00","0.00"
"27","19-009156-co"," 205.00"," 205.00","0.00"
"28","19-009158-co"," 205.00"," 205.00","0.00"
"29","19-009159-co"," 195.00"," 195.00","0.00"
"30","19-009160-co"," 1.29"," 1.29","0.00"
"31","19-009073-co"," 195.00"," 195.00","0.00"
"32","19-009075-co"," 195.00"," 195.00","0.00"
"33","19-009080-co"," 314.10"," 314.10","0.00"
"34","19-009081-co"," 205.00"," 205.00","0.00"
"35","19-009082-co"," 197.19"," 197.19","0.00"
"36","19-009083-co"," 206.65"," 206.65","0.00"
"37","19-009084-co"," 205.00"," 205.00","0.00"
"38","19-009085-co"," 195.00"," 195.00","0.00"
"39","19-009086-co"," 0.60"," 0.60","0.00"
"40","19-009087-co"," 195.00"," 195.00","0.00"
"41","19-009088-co"," 195.00"," 195.00","0.00"
"42","19-009091-co"," 195.00"," 195.00","0.00"
"43","19-009092-co"," 199.79"," 199.79","0.00"
"44","19-009093-co"," 0.45"," 0.45","0.00"
"45","19-009094-co"," 195.00"," 195.00","0.00"
"46","19-009095-co"," 195.00"," 195.00","0.00"
"47","19-009096-co"," 195.00"," 195.00","0.00"
"48","19-009097-co"," 211.00"," 211.00","0.00"
"49","19-009099-co"," 195.00"," 195.00","0.00"
"50","19-009101-co"," 195.00"," 195.00","0.00"
"51","19-009102-co"," 195.00"," 195.00","0.00"
"52","19-009103-co"," 215.00"," 215.00","0.00"
"53","19-009107-co"," 205.00"," 205.00","0.00"
"54","19-009108-co"," 0.75"," 0.75","0.00"
"55","19-009076-co"," 350.00"," 350.00","0.00"
"56","19-009013-co"," 195.00"," 195.00","0.00"
"57","19-009014-co"," 195.00"," 195.00","0.00"
"58","19-009015-co"," 215.00"," 215.00","0.00"
"59","19-009016-co"," 205.00"," 205.00","0.00"
"60","19-009017-co"," 205.00"," 205.00","0.00"
"61","19-009018-co"," 2.25"," 2.25","0.00"
"62","19-009019-co"," 195.00"," 195.00","0.00"
"63","19-009020-co"," 205.00"," 205.00","0.00"
"64","19-009021-co"," 295.00"," 295.00","0.00"
"65","19-009026-co"," 205.00"," 205.00","0.00"
"66","19-009027-co"," 195.00"," 195.00","0.00"
"67","19-009030-co"," 205.00"," 205.00","0.00"
"68","19-009037-co"," 206.14"," 206.14","0.00"
"69","na","","",""
"70","19-009039-co"," 0.84"," 0.84","0.00"
"71","19-009041-co"," 195.00"," 195.00","0.00"
"72","19-009042-co"," 205.00"," 205.00","0.00"
"73","19-009043-co"," 195.00"," 195.00","0.00"
"74","19-009044-co"," 195.00"," 195.00","0.00"
"75","19-009045-co"," 195.00"," 195.00","0.00"
"76","19-009046-co"," 195.00"," 195.00","0.00"
"77","19-009047-co"," 0.90"," 0.90","0.00"
"78","19-009048-co"," 195.00"," 195.00","0.00"
"79","19-009050-co"," 195.00"," 195.00","0.00"
"80","19-009054-co"," 195.00"," 195.00","0.00"
"81","19-009055-co"," 195.00"," 195.00","0.00"
"82","19-009060-co"," 205.00"," 205.00","0.00"
"83","19-009065-co"," 195.00"," 195.00","0.00"
"84","19-009068-co"," 205.00"," 205.00","0.00"
