"","case_number","to_pay","paid","balance"
"1","20-001609-co"," 215.00"," 215.00","0"
"2","20-001612-co"," 212.40"," 212.40","0"
"3","20-001613-co"," 334.43"," 334.43","0"
"4","20-001614-co"," 195.00"," 195.00","0"
"5","20-001616-co"," 195.00"," 195.00","0"
"6","20-001617-co"," 205.00"," 205.00","0"
"7","20-001623-co"," 195.00"," 195.00","0"
"8","20-001624-co"," 195.00"," 195.00","0"
"9","20-001627-co"," 314.70"," 314.70","0"
"10","20-001633-co"," 195.00"," 195.00","0"
"11","20-001634-co"," 195.00"," 195.00","0"
"12","20-001635-co"," 205.00"," 205.00","0"
"13","20-001636-co"," 195.00"," 195.00","0"
"14","20-001637-co"," 195.00"," 195.00","0"
"15","20-001638-co"," 195.00"," 195.00","0"
"16","20-001639-co"," 195.00"," 195.00","0"
"17","20-001603-co"," 205.00"," 205.00","0"
"18","20-001605-co"," 205.00"," 205.00","0"
"19","20-001572-co"," 205.00"," 205.00","0"
"20","20-001573-co"," 195.00"," 195.00","0"
"21","20-001574-co"," 205.00"," 205.00","0"
"22","20-001575-co"," 205.00"," 205.00","0"
"23","20-001576-co"," 195.00"," 195.00","0"
"24","20-001577-co"," 195.00"," 195.00","0"
"25","20-001578-co"," 195.00"," 195.00","0"
"26","20-001579-co"," 195.00"," 195.00","0"
"27","20-001580-co"," 195.00"," 195.00","0"
"28","20-001583-co"," 195.00"," 195.00","0"
"29","20-001587-co"," 195.69"," 195.69","0"
"30","20-001594-co"," 205.00"," 205.00","0"
"31","20-001596-co"," 195.00"," 195.00","0"
"32","20-001597-co"," 195.00"," 195.00","0"
"33","20-001599-co"," 195.00"," 195.00","0"
"34","20-001550-co"," 205.00"," 205.00","0"
"35","20-001551-co"," 213.96"," 213.96","0"
"36","20-001553-co"," 195.00"," 195.00","0"
"37","20-001556-co"," 195.00"," 195.00","0"
"38","20-001557-co"," 195.00"," 195.00","0"
"39","20-001558-co"," 195.00"," 195.00","0"
"40","20-001560-co"," 215.00"," 215.00","0"
"41","20-001561-co"," 195.00"," 195.00","0"
"42","20-001562-co"," 1.65"," 1.65","0"
"43","20-001563-co"," 195.00"," 195.00","0"
"44","20-001564-co"," 205.00"," 205.00","0"
"45","20-001566-co"," 195.00"," 195.00","0"
"46","20-001567-co"," 195.00"," 195.00","0"
"47","20-001569-co"," 0.00"," 0.00","0"
"48","20-001505-co"," 0.00"," 0.00","0"
"49","20-001506-co"," 195.00"," 195.00","0"
"50","20-001507-co"," 195.00"," 195.00","0"
"51","20-001509-co"," 314.19"," 314.19","0"
"52","20-001514-co"," 205.00"," 205.00","0"
"53","20-001515-co"," 205.00"," 205.00","0"
"54","20-001517-co"," 195.00"," 195.00","0"
"55","20-001518-co"," 195.00"," 195.00","0"
"56","20-001519-co"," 195.00"," 195.00","0"
"57","20-001520-co"," 195.00"," 195.00","0"
"58","20-001521-co"," 195.30"," 195.30","0"
"59","20-001523-co"," 205.00"," 205.00","0"
"60","20-001524-co"," 205.00"," 205.00","0"
"61","20-001525-co"," 318.46"," 318.46","0"
"62","20-001527-co"," 195.00"," 195.00","0"
"63","20-001528-co"," 208.50"," 208.50","0"
"64","20-001530-co"," 195.00"," 195.00","0"
"65","20-001531-co"," 205.00"," 205.00","0"
"66","20-001535-co"," 205.00"," 205.00","0"
"67","20-001536-co"," 320.00"," 310.00","10"
"68","20-001537-co"," 195.00"," 195.00","0"
"69","20-001538-co"," 215.00"," 215.00","0"
"70","20-001539-co"," 310.00"," 310.00","0"
"71","20-001540-co"," 205.00"," 205.00","0"
"72","20-001541-co"," 195.00"," 195.00","0"
"73","20-001542-co"," 195.00"," 195.00","0"
"74","20-001543-co"," 195.00"," 195.00","0"
"75","20-000986-ci"," 395.00"," 395.00","0"
"76","20-001549-co"," 320.00"," 320.00","0"
"77","20-001498-co"," 239.76"," 239.76","0"
"78","20-001461-co"," 195.00"," 195.00","0"
"79","20-001468-co"," 195.69"," 195.69","0"
"80","20-001469-co"," 316.35"," 316.35","0"
"81","20-001470-co"," 199.19"," 199.19","0"
"82","20-001472-co"," 195.00"," 195.00","0"
"83","20-001473-co"," 195.00"," 195.00","0"
"84","20-001475-co"," 195.00"," 195.00","0"
"85","20-001476-co"," 195.00"," 195.00","0"
"86","20-001478-co"," 195.00"," 195.00","0"
"87","20-001480-co"," 198.50"," 198.50","0"
"88","20-001482-co"," 310.00"," 310.00","0"
"89","20-001484-co"," 1.59"," 1.59","0"
"90","20-001485-co"," 195.00"," 195.00","0"
"91","20-001486-co"," 195.00"," 195.00","0"
"92","20-001487-co"," 205.00"," 205.00","0"
"93","20-001488-co"," 320.00"," 320.00","0"
"94","20-001489-co"," 195.00"," 195.00","0"
"95","20-001490-co"," 195.00"," 195.00","0"
"96","20-001492-co"," 195.00"," 195.00","0"
"97","20-001508-co"," 320.00"," 320.00","0"
"98","20-001494-co"," 205.00"," 205.00","0"
"99","20-001495-co"," 205.00"," 205.00","0"
"100","20-001496-co"," 205.00"," 205.00","0"
"101","20-001453-co"," 195.00"," 195.00","0"
"102","20-001454-co"," 195.00"," 195.00","0"
"103","20-001449-co"," 195.00"," 195.00","0"
"104","20-001451-co"," 195.00"," 195.00","0"
"105","20-001456-co"," 195.00"," 195.00","0"
"106","20-001457-co"," 310.00"," 310.00","0"
"107","20-001460-co"," 235.00"," 235.00","0"
"108","20-001474-co"," 215.00"," 215.00","0"
"109","20-001493-co"," 195.00"," 195.00","0"
"110","20-000955-ci"," 444.15"," 444.15","0"
"111","20-001413-co"," 205.00"," 205.00","0"
"112","20-001415-co"," 205.00"," 205.00","0"
"113","20-001416-co"," 315.57"," 315.57","0"
"114","20-001417-co"," 205.00"," 205.00","0"
"115","20-001418-co"," 215.67"," 215.67","0"
"116","20-001419-co"," 195.00"," 195.00","0"
"117","20-001420-co"," 201.38"," 201.38","0"
"118","20-001421-co"," 195.00"," 195.00","0"
"119","20-001422-co"," 205.00"," 205.00","0"
"120","20-001425-co"," 340.00"," 340.00","0"
"121","20-001426-co"," 196.80"," 196.80","0"
"122","20-001427-co"," 205.00"," 205.00","0"
"123","20-001428-co"," 195.00"," 195.00","0"
"124","20-001430-co"," 0.30"," 0.30","0"
"125","20-001431-co"," 195.00"," 195.00","0"
"126","20-001432-co"," 196.15"," 196.15","0"
"127","20-001433-co"," 195.00"," 195.00","0"
"128","20-001434-co"," 205.00"," 205.00","0"
"129","20-001435-co"," 195.00"," 195.00","0"
"130","20-001436-co"," 195.00"," 195.00","0"
"131","20-001437-co"," 195.00"," 195.00","0"
"132","20-001438-co"," 215.00"," 215.00","0"
"133","20-001439-co"," 211.95"," 211.95","0"
"134","20-001440-co"," 205.00"," 205.00","0"
"135","20-001441-co"," 7.88"," 7.88","0"
"136","20-001443-co"," 195.00"," 195.00","0"
"137","20-001444-co"," 195.00"," 195.00","0"
"138","20-001445-co"," 195.00"," 195.00","0"
"139","20-001446-co"," 195.00"," 195.00","0"
"140","20-001447-co"," 320.00"," 320.00","0"
"141","20-001414-co"," 215.00"," 215.00","0"
"142","20-001368-co"," 0.69"," 0.69","0"
"143","20-001369-co"," 195.00"," 195.00","0"
"144","20-001370-co"," 195.00"," 195.00","0"
"145","20-001371-co"," 195.00"," 195.00","0"
"146","20-001372-co"," 195.00"," 195.00","0"
"147","20-001378-co"," 195.00"," 195.00","0"
"148","20-001379-co"," 215.00"," 215.00","0"
"149","20-001380-co"," 205.00"," 205.00","0"
"150","20-001381-co"," 195.00"," 195.00","0"
"151","20-001383-co"," 195.00"," 195.00","0"
"152","20-001383-co"," 195.00"," 195.00","0"
"153","20-001385-co"," 195.00"," 195.00","0"
"154","20-001386-co"," 205.00"," 205.00","0"
"155","20-001387-co"," 205.00"," 205.00","0"
"156","20-001388-co"," 195.00"," 195.00","0"
"157","20-001389-co"," 195.00"," 195.00","0"
"158","20-001390-co"," 205.00"," 205.00","0"
"159","20-001391-co"," 195.00"," 195.00","0"
"160","20-001392-co"," 215.00"," 215.00","0"
"161","20-001393-co"," 195.00"," 195.00","0"
"162","20-001394-co"," 220.72"," 220.72","0"
"163","20-001395-co"," 195.00"," 195.00","0"
"164","20-001396-co"," 195.00"," 195.00","0"
"165","20-001397-co"," 205.00"," 205.00","0"
"166","20-001398-co"," 195.00"," 195.00","0"
"167","20-001399-co"," 195.00"," 195.00","0"
"168","20-000879-ci"," 410.60"," 410.60","0"
"169","20-001400-co"," 195.00"," 195.00","0"
"170","20-001401-co"," 195.00"," 195.00","0"
"171","20-001402-co"," 205.00"," 205.00","0"
"172","20-001403-co"," 215.00"," 215.00","0"
"173","20-001404-co"," 205.00"," 205.00","0"
"174","20-001405-co"," 195.00"," 195.00","0"
"175","20-001406-co"," 195.00"," 195.00","0"
"176","20-001407-co"," 195.00"," 195.00","0"
"177","20-001408-co"," 195.00"," 195.00","0"
"178","20-001409-co"," 205.00"," 205.00","0"
"179","20-001410-co"," 195.00"," 195.00","0"
"180","20-001411-co"," 205.00"," 205.00","0"
"181","20-001412-co"," 215.00"," 215.00","0"
"182","20-001297-co"," 207.76"," 207.76","0"
"183","20-001308-co"," 195.00"," 195.00","0"
"184","20-001309-co"," 310.00"," 310.00","0"
"185","20-001310-co"," 212.35"," 212.35","0"
"186","20-001311-co"," 195.00"," 195.00","0"
"187","20-001312-co"," 195.00"," 195.00","0"
"188","20-001313-co"," 205.00"," 205.00","0"
"189","20-001314-co"," 195.00"," 195.00","0"
"190","20-001315-co"," 195.00"," 195.00","0"
"191","20-001316-co"," 205.00"," 205.00","0"
"192","20-001317-co"," 205.00"," 205.00","0"
"193","20-001318-co"," 195.00"," 195.00","0"
"194","20-001319-co"," 205.00"," 205.00","0"
"195","20-001320-co"," 195.69"," 195.69","0"
"196","20-001321-co"," 195.69"," 195.69","0"
"197","20-001322-co"," 225.00"," 225.00","0"
"198","20-001323-co"," 320.00"," 320.00","0"
"199","20-001324-co"," 312.49"," 312.49","0"
"200","20-001326-co"," 195.00"," 195.00","0"
"201","20-001327-co"," 205.00"," 205.00","0"
"202","20-001328-co"," 205.00"," 205.00","0"
"203","20-001329-co"," 0.45"," 0.45","0"
"204","20-001330-co"," 205.00"," 205.00","0"
"205","20-001332-co"," 195.00"," 195.00","0"
"206","20-001334-co"," 320.00"," 320.00","0"
"207","20-001337-co"," 195.00"," 195.00","0"
"208","20-001338-co"," 195.00"," 195.00","0"
"209","20-001340-co"," 195.00"," 195.00","0"
"210","20-001350-co"," 205.00"," 205.00","0"
"211","20-001354-co"," 215.00"," 215.00","0"
"212","20-001355-co"," 195.00"," 195.00","0"
"213","20-001255-co"," 0.69"," 0.69","0"
"214","20-001259-co"," 205.00"," 205.00","0"
"215","20-001260-co"," 199.79"," 199.79","0"
"216","20-001261-co"," 324.89"," 324.89","0"
"217","20-001263-co"," 195.00"," 195.00","0"
"218","20-001264-co"," 205.00"," 205.00","0"
"219","20-001265-co"," 195.00"," 195.00","0"
"220","20-001266-co"," 195.00"," 195.00","0"
"221","20-001267-co"," 205.00"," 205.00","0"
"222","20-001268-co"," 195.00"," 195.00","0"
"223","20-001269-co"," 195.00"," 195.00","0"
"224","20-001272-co"," 205.00"," 205.00","0"
"225","20-001276-co"," 205.00"," 205.00","0"
"226","20-001278-co"," 195.00"," 195.00","0"
"227","20-001281-co"," 215.00"," 215.00","0"
"228","20-001286-co"," 205.00"," 205.00","0"
"229","20-001288-co"," 195.00"," 195.00","0"
"230","20-001289-co"," 195.00"," 195.00","0"
"231","20-001293-co"," 215.00"," 215.00","0"
"232","20-001294-co"," 205.00"," 205.00","0"
"233","20-001295-co"," 195.00"," 195.00","0"
"234","20-001230-co"," 340.00"," 340.00","0"
"235","20-001238-co"," 195.00"," 195.00","0"
"236","20-001239-co"," 195.00"," 195.00","0"
"237","20-001240-co"," 195.00"," 195.00","0"
"238","20-001241-co"," 3.80"," 3.80","0"
"239","20-001242-co"," 198.50"," 198.50","0"
"240","20-001243-co"," 0.99"," 0.99","0"
"241","20-001244-co"," 195.00"," 195.00","0"
"242","20-001245-co"," 195.00"," 195.00","0"
"243","20-001246-co"," 195.00"," 195.00","0"
"244","20-001247-co"," 316.59"," 316.59","0"
"245","20-001248-co"," 195.00"," 195.00","0"
"246","20-001249-co"," 195.00"," 195.00","0"
"247","20-001250-co"," 195.00"," 195.00","0"
"248","20-001251-co"," 195.00"," 195.00","0"
"249","20-001231-co"," 310.00"," 310.00","0"
"250","20-001232-co"," 310.00"," 310.00","0"
"251","20-001199-co"," 195.00"," 195.00","0"
"252","20-001205-co"," 0.60"," 0.60","0"
"253","20-001210-co"," 195.00"," 195.00","0"
"254","20-001212-co"," 4.29"," 4.29","0"
"255","20-001213-co"," 205.00"," 205.00","0"
"256","20-001215-co"," 205.00"," 205.00","0"
"257","20-001216-co"," 195.00"," 195.00","0"
"258","20-001219-co"," 195.00"," 195.00","0"
"259","20-001220-co"," 195.00"," 195.00","0"
"260","20-001221-co"," 320.00"," 320.00","0"
"261","20-001226-co"," 195.00"," 195.00","0"
"262","20-001227-co"," 185.00"," 185.00","0"
"263","20-001228-co"," 195.00"," 195.00","0"
"264","20-001229-co"," 195.00"," 195.00","0"
"265","20-001160-co"," 205.00"," 205.00","0"
"266","20-001161-co"," 195.00"," 195.00","0"
"267","20-001162-co"," 206.38"," 206.38","0"
"268","20-001164-co"," 195.00"," 195.00","0"
"269","20-001165-co"," 195.00"," 195.00","0"
"270","20-001166-co"," 205.00"," 205.00","0"
"271","20-001167-co"," 185.00"," 185.00","0"
"272","20-001169-co"," 0.99"," 0.99","0"
"273","20-001171-co"," 195.00"," 195.00","0"
"274","20-001178-co"," 205.00"," 205.00","0"
"275","20-001179-co"," 195.00"," 195.00","0"
"276","20-001609-co"," 215.00"," 215.00","0"
"277","20-001181-co"," 215.00"," 215.00","0"
"278","20-001182-co"," 205.00"," 205.00","0"
"279","20-001183-co"," 195.00"," 195.00","0"
"280","20-001184-co"," 195.00"," 195.00","0"
"281","20-001185-co"," 314.19"," 314.19","0"
"282","20-001187-co"," 195.00"," 195.00","0"
