"","case_number","to_pay","paid","balance"
"1","19-007218-co"," 195.00"," 195.00","0.00"
"2","19-007219-co"," 195.00"," 195.00","0.00"
"3","19-007220-co"," 195.00"," 195.00","0.00"
"4","19-007221-co"," 0.30"," 0.30","0.00"
"5","19-007222-co"," 195.00"," 195.00","0.00"
"6","19-007223-co"," 205.00"," 205.00","0.00"
"7","19-007224-co"," 195.00"," 195.00","0.00"
"8","19-007225-co"," 195.00"," 195.00","0.00"
"9","19-007228-co"," 195.00"," 195.00","0.00"
"10","19-007238-co"," 195.00"," 195.00","0.00"
"11","19-007239-co"," 195.00"," 195.00","0.00"
"12","19-007240-co"," 206.93"," 206.93","0.00"
"13","19-007241-co"," 205.00"," 205.00","0.00"
"14","19-007246-co"," 195.00"," 195.00","0.00"
"15","19-005894-ci"," 410.00"," 410.00","0.00"
"16","19-007251-co"," 195.00"," 195.00","0.00"
"17","19-007252-co"," 205.00"," 205.00","0.00"
"18","19-007253-co"," 195.00"," 195.00","0.00"
"19","19-007254-co"," 205.00"," 205.00","0.00"
"20","19-007216-co"," 195.00"," 195.00","0.00"
"21","19-007217-co"," 195.00"," 195.00","0.00"
"22","19-007189-co"," 205.00"," 205.00","0.00"
"23","19-007190-co"," 205.00"," 205.00","0.00"
"24","19-007199-co"," 213.80"," 213.80","0.00"
"25","19-007200-co"," 205.00"," 205.00","0.00"
"26","19-007201-co"," 195.00"," 195.00","0.00"
"27","19-007202-co"," 195.00"," 195.00","0.00"
"28","19-007203-co"," 195.00"," 195.00","0.00"
"29","19-007204-co"," 195.00"," 195.00","0.00"
"30","19-007205-co"," 195.00"," 195.00","0.00"
"31","19-007206-co"," 321.38"," 321.38","0.00"
"32","19-007208-co"," 205.00"," 205.00","0.00"
"33","19-007209-co"," 195.00"," 195.00","0.00"
"34","19-007210-co"," 195.00"," 195.00","0.00"
"35","19-007211-co"," 195.00"," 195.00","0.00"
"36","19-007212-co"," 205.00"," 205.00","0.00"
"37","19-007213-co"," 0.90"," 0.90","0.00"
"38","19-007214-co"," 195.00"," 195.00","0.00"
"39","19-007215-co"," 195.00"," 195.00","0.00"
"40","19-007141-co"," 196.80"," 196.80","0.00"
"41","19-007142-co"," 2.40"," 2.40","0.00"
"42","19-007143-co"," 203.12"," 203.12","0.00"
"43","19-007151-co"," 9.20"," 9.20","0.00"
"44","19-007157-co"," 195.00"," 195.00","0.00"
